mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
0.337325246,0.338167006,0.32051648,0.30429591,1.984452664,2.535613797,5.1715699
0.338593475,0.338714972,0.310793824,0.309502594,2.036532505,2.554709238,5.530060136
0.359906865,0.338122848,0.306808186,0.312373889,1.963615732,2.615559115,5.833288129
0.358032951,0.332606855,0.313539875,0.323821251,2.023065968,2.518526391,5.547420042
0.36048422,0.33124788,0.303109388,0.324109052,1.979405632,2.562094121,5.409223075
0.335562939,0.323617062,0.307558568,0.320804031,1.993505833,2.463407488,5.572815316
0.334117255,0.332456899,0.312932669,0.319707791,2.085625676,2.511329652,5.364572465
0.337888938,0.331464657,0.304561347,0.314539564,2.262311934,2.595791122,5.346733991
0.33083982,0.333929302,0.308805022,0.319491802,2.015238735,2.574845381,5.521410711
0.336281871,0.334613191,0.322239311,0.318582529,1.961850478,2.74005737,6.034313302
0.327997887,0.330017454,0.306739203,0.313363959,1.932208807,2.559408901,5.493882779
0.330259536,0.330555515,0.313073119,0.318895137,1.982049297,2.633015967,5.488116379
0.329955412,0.328671955,0.310284089,0.317515166,1.991862444,2.484645164,5.281034546
0.338905728,0.334498671,0.316273784,0.315092067,1.989164825,2.585408558,5.224836564
0.326543891,0.341700706,0.310566686,0.312803386,1.964380281,2.608979718,5.000204608
0.320879943,0.33879278,0.308266445,0.314311349,1.988332843,2.483681977,5.421211861
0.32564351,0.336148486,0.318777162,0.318079911,2.002411157,2.589005568,5.233543764
0.331279956,0.337853832,0.307093474,0.318767239,2.03653504,2.492913444,5.35527855
0.321595164,0.333619381,0.314614835,0.308198419,2.046891002,2.415589557,5.581059381
0.312157462,0.332425493,0.302780245,0.318066475,1.985696541,2.479846663,5.717586323
0.339388255,0.345001266,0.317542059,0.313297841,1.959882982,2.533427261,5.396994046
0.324191685,0.339281997,0.31451837,0.321835607,1.963255277,2.581416895,5.828318459
0.345704451,0.335664612,0.317991765,0.318247463,2.008725178,2.510418376,5.408081442
0.33964678,0.342702049,0.315222777,0.322646137,2.011085575,2.479286622,5.445807589
0.318907256,0.338061893,0.304666261,0.312470228,1.992778304,2.595057831,5.70557885
0.330162894,0.321535879,0.318925352,0.314957085,2.091612324,2.461206906,5.134335385
0.33549349,0.332082517,0.316405126,0.321196661,2.183215662,2.487701636,5.326285482
0.328151325,0.338681293,0.310800059,0.317684069,2.005027586,2.581090338,5.642964786
